dba_name,license_#,facility_type,address,city,state,zip
SHARKS FISH & CHICKEN,1477112,Restaurant,2027 E 95TH ST ,CHICAGO,IL,60617.0
LAS  ASADAS,2069204,Restaurant,2045 N WESTERN AVE ,CHICAGO,IL,60647.0
FUNG'S CHOP SUEY,1119697,Restaurant,1400 E 47th DR ,CHICAGO,IL,60653.0
J & J FISH,1803709,Restaurant,6659 S DAMEN AVE ,CHICAGO,IL,60636.0
MIKU SUSHI,2373905,Restaurant,4514 N LINCOLN AVE ,CHICAGO,IL,60625.0
JERK STOP,2492992,Restaurant,1132 W WILSON AVE ,CHICAGO,IL,60640.0
CHOP STICK EXPRESS,1697822,Restaurant,7230 N HARLEM AVE ,CHICAGO,IL,60631.0
TESORI,57929,Restaurant,220 S MICHIGAN AVE ,CHICAGO,IL,60604.0
HERO COFFEE,2535859,Restaurant,439 S DEARBORN ST ,CHICAGO,IL,60605.0
CRISPY'S,2447073,Restaurant,7242 W TOUHY AVE ,CHICAGO,IL,60631.0
FREDY'S INN,955,Restaurant,2905 N ELSTON AVE ,CHICAGO,IL,60618.0
CHICAGO'S HOME OF CHICKEN & WAFFLES,1879470,Restaurant,3947 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60653.0
SUBWAY,1679112,Restaurant,8711 S ASHLAND AVE ,CHICAGO,IL,60620.0
CHINA CAFE,2419388,Restaurant,2300-2302 S WENTWORTH AVE ,CHICAGO,IL,60616.0
THE DRUNKEN BEAN,2535966,Restaurant,400 E SOUTH WATER ST ,CHICAGO,IL,60601.0
ACE COFFEE BAR INC.,1767369,Restaurant,5001 S MICHIGAN AVE ,CHICAGO,IL,60615.0
MANEETHAI RESTAURANT,2031570,Restaurant,3558 N PULASKI RD ,CHICAGO,IL,60641.0
STARBUCKS COFFEE #13522,1817658,Restaurant,3232 W FOSTER AVE ,CHICAGO,IL,60625.0
"Bakin' & Eggs: A Lovely Idea, LLC",2003512,Restaurant,3120 N LINCOLN AVE ,CHICAGO,IL,60657.0
SUBWAY,1947909,Restaurant,6450 S PULASKI RD ,CHICAGO,IL,60629.0
SILVER CLOUD,38379,Restaurant,1700 N DAMEN AVE ,CHICAGO,IL,60647.0
VINIS PIZZA,2133603,Restaurant,4009 W LAWRENCE AVE ,CHICAGO,IL,60630.0
WHITE CASTLE #49,28486,Restaurant,11050 S HALSTED ST ,CHICAGO,IL,60628.0
ANNA PURANA FAST FOOD,13388,Restaurant,2608 W DEVON AVE ,CHICAGO,IL,60659.0
STICKY RICE,1515745,Restaurant,4018 N WESTERN AVE ,CHICAGO,IL,60618.0
